p,x,y,j,c
460-00-583998-130,114.15623,30.52301,C12,1
460-00-438311-3,114.276666,30.575833,C12,1
460-00-442857-1,114.30284,30.61412,C12,1
460-00-443419-2,114.28372,30.57716,C12,1
460-00-36128-195,114.266803,30.563795,C12,1
460-00-438328-1,114.221405,30.582415,C12,1
460-00-305546-131,114.27561,30.60053,C12,1
460-00-442503-5,114.255209,30.58213,C12,1
460-00-442676-3,114.15283,30.491133,C12,1
460-00-304738-131,114.15347,30.517778,C12,1
460-00-438311-1,114.276666,30.575833,C12,1
460-00-304518-133,114.265926,30.607495,C12,1
460-00-439044-3,114.29658,30.60624,C12,1
460-00-439350-1,114.24478,30.553581,C12,1
460-00-185549-65,114.15916,30.513437,C12,1
460-00-439129-3,114.20109,30.55713,C12,1
460-00-307936-129,114.22383,30.513487,C12,1
460-00-434608-2,114.21386,30.52881,C12,1
460-00-305208-132,114.13664,30.599648,C12,1
460-00-442505-19,114.25681,30.58174,C12,1
460-00-36232-202,114.294173,30.582054,C12,1
460-00-303728-130,114.267811,30.539096,C12,1
460-00-308395-132,114.27965,30.60725,C12,1
460-00-36145-195,114.29234,30.59981,C12,1
460-00-304670-133,114.10813,30.550798,C12,1
460-00-438279-18,114.26884,30.582178,C12,1
460-00-304738-129,114.15346,30.517763,C12,1
460-00-440300-1,114.24283,30.65344,C12,1
460-00-439262-3,114.27306,30.60114,C12,1
460-00-438529-2,114.195838,30.566427,C12,1
460-00-185438-65,114.242701,30.578186,C12,1
460-00-438515-1,114.26433,30.54465,C12,1
460-00-584693-130,114.245383,30.587303,C12,1
460-00-304532-130,114.24241,30.55659,C12,1
460-00-439361-2,114.32193,30.630241,C12,1
460-00-439872-3,114.25701,30.59894,C12,1
460-00-438686-3,114.117534,30.477053,C12,1
460-00-305733-129,114.212944,30.526014,C12,1
460-00-308148-134,114.25399,30.583817,C12,1
460-00-438543-1,114.18669,30.48707,C12,1
460-00-584034-134,114.15803,30.51347,C12,1
460-00-305283-129,114.16342,30.49531,C12,1
460-00-438385-1,114.262024,30.53607,C12,1
460-00-442704-1,114.26782,30.59656,C12,1
460-00-303105-138,114.23252,30.65261,C12,1
460-00-305021-131,114.273304,30.669741,C12,1
460-00-304537-129,114.15578,30.52695,C12,1
